Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
OL,Kentucky,78,317,5.3,26,,104,8,4.83,Y
OLB,Tennessee,73,230,,,,,,,Y
TE,Toledo,76,270,4.86,30,,110,7.05,4.51,Y
CB,Penn State,74,205,4.47,36.5,17,120,6.82,4.16,Y
OT,Washington State,76,304,5.18,31,28,109,7.64,4.77,Y
OT,Oregon,77,309,5.23,30,17,105,7.89,4.77,Y
WR,Wisconsin,73,202,4.73,38.5,23,124,7.2,4.33,Y
FB,Rutgers,71,242,4.65,33,25,115,7.2,4.34,Y
WR,Old Dominion,74,215,4.58,36.5,15,126,,,Y
DL,Utah,73,318,,25.5,23,,,4.93,Y
CB,Texas,69,196,4.56,35.5,17,113,7.22,4.15,Y
DT,Penn State,76,277,4.81,30.5,28,109,7.63,4.39,Y
DT,Arkansas,75,280,4.84,32.5,29,113,7.55,4.56,Y
LS,Baylor,73,240,4.95,27.5,,110,7.05,4.38,Y
QB,Miami (FL),76,214,,,,,,,Y
TE,Georgia,75,244,4.91,28,19,,7.45,4.43,Y
FB,San Diego State,74,245,,,,,,,Y
OT,South Carolina,79,324,5.34,,28,,,,Y
DL,Michigan,76,277,4.58,38,26,120,7.26,4.29,Y
CB,Louisville,71,192,4.38,35,14,127,6.71,3.98,Y
S,Maryland,71,198,4.36,39.5,11,126,7.03,4.14,Y
QB,Utah State,76,224,4.74,35.5,,118,7.21,4.52,Y
